"";"year";"specimen_ID";"laboratory";"species";"station_name";"fat_percentage";"Hg";"Ni";"Cr";"Pb";"Cd";"Zn";"Cu";"As";"Ag"
"78";"2007";"C2007/03578";"SLU";"Perca fluviatilis";"Holmoarna";NA;"56";NA;NA;NA;NA;NA;NA;NA;NA
"79";"1999";"P1999/03539";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.08";"0.26";"0.006";"0.07";"38.7";"14.6";"2.09";NA
"80";"1999";"P1999/03540";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.16";"0.24";"0.012";"0.04";"57.8";"31.1";"4.59";NA
"81";"1999";"P1999/03544";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.04";"0.26";"0.009";"0.033";"68.8";"58";"8.93";NA
"82";"1999";"P1999/03538";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.16";"0.39";"0.012";"0.05";"63.4";"28.9";"4.69";NA
"83";"1999";"P1999/03536";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.05";"0.22";"0.008";"0.025";"43.4";"28.6";"2.68";NA
"84";"1999";"P1999/03541";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.07";"0.22";"0.006";"0.014";"30.6";"13.3";"1.51";NA
"85";"1999";"P1999/03542";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.04";"0.26";"0.006";"0.012";"23.4";"8.67";"3.62";NA
"86";"1999";"P1999/03543";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.02";"0.23";"0.006";"0.024";"50.4";"24.8";"5.03";NA
"87";"1999";"P1999/03537";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.05";"0.15";"0.012";"0.044";"45.4";"11.4";"5.12";NA
"88";"1999";"P1999/03535";"SU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.05";"0.18";"0.004";"0.046";"53.6";"22.4";"4.2";NA
"89";"1999";"P1999/04504";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.05";"0.16";"0.037";"0.359";"90.6";"15";"6.95";NA
"90";"1999";"P1999/04512";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.06";"0.17";"0.051";"0.692";"112";"17.5";"4.38";NA
"91";"1999";"P1999/04513";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.03";"0.16";"0.025";"0.268";"83.5";"7.93";"4.17";NA
"92";"1999";"P1999/04507";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.12";"0.23";"0.059";"0.53";"120";"14.4";"5.67";NA
"93";"1999";"P1999/04509";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.04";"0.21";"0.039";"0.309";"71.9";"8.99";"4.54";NA
"94";"1999";"P1999/04505";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.03";"0.14";"0.025";"0.274";"87.2";"10.2";"3.86";NA
"95";"1999";"P1999/04508";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.05";"0.2";"0.05";"0.495";"73.2";"9.04";"4.83";NA
"96";"1999";"P1999/04511";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.04";"0.12";"0.042";"0.412";"110";"11.4";"7.47";NA
"97";"1999";"P1999/04510";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.03";"0.19";"0.038";"0.438";"104";"11.8";"5.86";NA
"98";"1999";"P1999/04506";"SU";"Clupea harengus";"Vaderoarna";NA;NA;"0.04";"0.13";"0.042";"0.237";"90.6";"9.38";"6.93";NA
"99";"1994";"P1994/02453-02462";"SU";"Gadus morhua";"South Eastern Gotland";NA;"31.9";"-0.08";"-0.015";"0.009";"0.03";"19";"8.43";"2.58";"0.0687"
"100";"1995";"P1995/03240-03249";"SU";"Gadus morhua";"South Eastern Gotland";NA;"17.3";"-0.08";"-0.015";"-0.008";"0.015";"16.2";"8.74";"3.92";"0.0839"
"101";"1996";"P1996/01923-01932";"SU";"Gadus morhua";"South Eastern Gotland";NA;"22.7";"-0.1";"-0.019";"-0.01";"0.016";"18.6";"7.61";"5.3";"0.0589"
"102";"1997";"P1997/05153-05162";"SU";"Gadus morhua";"South Eastern Gotland";NA;"28.3";"0.15";"-0.016";"-0.008";"0.017";"19.1";"8.93";"4.04";"0.0733"
"103";"1998";"P1998/05897-05906";"SU";"Gadus morhua";"South Eastern Gotland";NA;"33.2";"-0.08";"0.016";"0.008";"0.018";"24.4";"11.6";"3.84";"0.14"
"104";"1999";"P1999/03535-03544";"SU";"Gadus morhua";"South Eastern Gotland";NA;"27";"-0.09";"-0.017";"0.008";"0.02";"24.9";"13.3";"3.67";"0.106"
"105";"2000";"P2000/03346-03355";"SU";"Gadus morhua";"South Eastern Gotland";NA;"31.5";"-0.07";"-0.014";"0.012";"0.021";"19.1";"10.6";"4.85";"0.084"
"106";"2001";"P2001/03405-03414";"SU";"Gadus morhua";"South Eastern Gotland";NA;"30.4";"-0.07";"-0.014";"-0.007";"0.015";"23.2";"11.4";"2.45";"0.06"
"107";"2002";"P2002/03094-03103";"SU";"Gadus morhua";"South Eastern Gotland";NA;"31.1";"-0.08";"-0.015";"0.008";"0.026";"21.7";"9.27";"3.51";"0.108"
"108";"2003";"P2003/03275-03283";"SU";"Gadus morhua";"South Eastern Gotland";NA;"32.9";"0.07";"-0.014";"0.009";"0.05";"24.9";"12.1";"2.8";"0.147"
"109";"1996";"C1996/07001";"SU";"Uria aalge";"Stora Karlso";NA;"265";"-0.08";"0.028";"-0.008";"-0.005";"40.6";"2.7";"0.68";"-0.003"
"110";"1997";"C1997/07012";"SU";"Uria aalge";"Stora Karlso";NA;"264";"-0.08";"0.029";"-0.008";"-0.005";"50.5";"3.16";"0.4";"0.0064"
"111";"1998";"C1998/07013";"SU";"Uria aalge";"Stora Karlso";NA;"224";"-0.08";"0.016";"-0.008";"-0.005";"43.7";"3.38";"0.35";"0.0062"
