"";"specimen_ID";"laboratory";"species";"station_name";"area";"organ";"PFHXA";"PFHPA";"PFOA";"PFNA";"PFDA";"PFUNDA";"PFDODA";"PFTRDA";"PFTEDA";"PFPEDA";"LPFBS";"LPFHXS";"BPFHXS";"PFHXS";"LPFOS";"BPFOS";"PFOS";"LPFDS";"BPFDS";"PFDS";"LFOSA";"BFOSA";"FOSA"
"26";"C2019/00821-00832";"SLU";"Perca fluviatilis";"Fysingen";"Freshwater";NA;"<0.213";"<0.151";"1.933456428";"0.733165786";"5.790016166";"1.154855234";"0.379281152";"0.226656964";"<0.003";"2.829557404";"<0.051";"<0.026";"<0.026";"<0.026";"99.44290321";"13.34961753";"112.7925207";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"27";"C2019/02273-02284";"SU";"Clupea harengus";"Alands Sea";"Marine";NA;"<0.041";"<0.041";"0.89";"1.994";"0.572";"0.648";"0.105";"0.158";"<0.041";"<0.041";"<0.036";"0.64";"<0.039";"0.64";"8.624";"2.627";"11.252";"<0.04";"<0.04";"<0.04";"0.436";"0.292";"0.728"
"28";"C2019/02285-02296";"SU";"Clupea harengus";"Alands Sea";"Marine";NA;"<0.041";"<0.041";"0.719";"1.967";"0.614";"0.622";"0.126";"0.268";"<0.041";"<0.041";"<0.036";"0.34";"<0.039";"0.34";"12.537";"3.543";"16.08";"<0.04";"<0.04";"<0.04";"0.684";"0.392";"1.076"
"29";"C2019/03385-03396";"SU";"Clupea harengus";"Gaviksfjarden";"Marine";NA;"<0.041";"<0.041";"0.442";"0.855";"0.216";"0.247";"0.069";"0.214";"<0.041";"<0.041";"<0.036";"0.297";"<0.039";"0.297";"5.989";"0.781";"6.77";"<0.04";"<0.04";"<0.04";"0.423";"0.14";"0.562"
"30";"C2019/03397-03408";"SU";"Clupea harengus";"Gaviksfjarden";"Marine";NA;"<0.041";"<0.041";"0.186";"0.692";"0.129";"0.146";"0.065";"0.133";"<0.041";"<0.041";"<0.036";"<0.039";"<0.039";"<0.039";"4.097";"0.34";"4.436";"<0.04";"<0.04";"<0.04";"0.356";"0.142";"0.497"
"31";"C2019/06354-06365";"SU";"Clupea harengus";"Abbekas";"Marine";NA;"<0.041";"<0.041";"0.344";"0.764";"0.275";"0.381";"0.097";"0.232";"<0.041";"<0.041";"<0.036";"0.17";"<0.039";"0.17";"3.888";"1.518";"5.406";"<0.04";"<0.04";"<0.04";"2.048";"0.198";"2.246"
"32";"C2019/06366-06377";"SU";"Clupea harengus";"Abbekas";"Marine";NA;"<0.041";"<0.041";"0.439";"0.711";"0.24";"0.277";"0.083";"0.158";"<0.041";"<0.041";"<0.036";"0.119";"<0.039";"0.119";"4.257";"2.519";"6.775";"<0.04";"<0.04";"<0.04";"1.596";"0.137";"1.734"
"33";"C2019/05304-05315";"SU";"Clupea harengus";"Kullen";"Marine";NA;"<0.041";"<0.041";"0.145";"<0.041";"0.076";"0.305";"0.099";"0.247";"<0.041";"<0.041";"<0.036";"<0.039";"<0.039";"<0.039";"0.724";"<0.039";"0.724";"<0.04";"<0.04";"<0.04";"1.744";"0.075";"1.819"
"34";"C2019/05316-05327";"SU";"Clupea harengus";"Kullen";"Marine";NA;"<0.041";"<0.041";"<0.041";"0.118";"0.075";"0.258";"0.113";"0.198";"<0.041";"<0.041";"<0.036";"<0.039";"<0.039";"<0.039";"0.876";"<0.039";"0.876";"<0.04";"<0.04";"<0.04";"1.978";"0.134";"2.111"
"35";"C2019/07241-07252";"SU";"Clupea harengus";"Byxelkrok";"Marine";NA;"<0.041";"<0.041";"0.934";"1.962";"0.704";"0.778";"0.2";"0.314";"<0.041";"<0.041";"<0.036";"0.759";"<0.039";"0.759";"9.236";"2.716";"11.953";"<0.04";"<0.04";"<0.04";"0.435";"0.315";"0.749"
"36";"C2019/07253-07264";"SU";"Clupea harengus";"Byxelkrok";"Marine";NA;"<0.041";"<0.041";"1.844";"3.723";"1.472";"1.63";"0.233";"0.463";"<0.041";"<0.041";"<0.036";"1.387";"<0.039";"1.387";"11.804";"3.9";"15.704";"<0.04";"<0.04";"<0.04";"0.626";"0.439";"1.065"
"37";"C2019/00264-00275";"SU";"Salvelinus alpinus";"Abiskojaure";"Freshwater";NA;"<0.041";"<0.041";"0.12";"0.848";"0.587";"0.889";"0.219";"0.395";"0.128";"<0.041";"<0.036";"<0.039";"<0.039";"<0.039";"1.396";"0.125";"1.521";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
"38";"C2019/00276-00287";"SU";"Salvelinus alpinus";"Abiskojaure";"Freshwater";NA;"<0.041";"<0.041";"0.055";"0.772";"0.751";"1.082";"0.299";"0.502";"0.202";"0.065";"<0.036";"<0.039";"<0.039";"<0.039";"1.622";"0.139";"1.761";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
"39";"C2019/02459-02470";"SU";"Salvelinus alpinus";"Stor-Tjultrasket";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.319";"0.173";"0.338";"0.274";"1.073";"0.459";"0.186";"0.07";"<0.039";"<0.039";"<0.039";"0.642";"0.04";"0.682";"<0.04";"<0.04";"<0.04";"0.101";"<0.042";"0.101"
"40";"C2019/02471-02482";"SU";"Salvelinus alpinus";"Stor-Tjultrasket";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.284";"0.126";"0.242";"0.211";"0.981";"0.351";"0.225";"0.065";"<0.039";"<0.039";"<0.039";"0.44";"0.084";"0.524";"<0.04";"<0.04";"<0.04";"0.143";"<0.042";"0.143"
"41";"C2019/00001-00010";"SU";"Esox lucius";"Bolmen";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.563";"2.123";"4.1";"1.575";"1.146";"1.263";"0.657";"<0.036";"<0.039";"<0.039";"<0.039";"17.429";"0.633";"18.063";"0.051";"<0.04";"0.051";"0.679";"0.075";"0.753"
"42";"C2019/00011-00020";"SU";"Esox lucius";"Bolmen";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.479";"2.287";"4.754";"1.669";"1.323";"1.221";"0.581";"<0.036";"<0.039";"<0.039";"<0.039";"19.308";"0.691";"19.999";"<0.04";"<0.04";"<0.04";"0.557";"0.095";"0.651"
"43";"C2019/00024-00033";"SU";"Esox lucius";"Storvindeln";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.373";"0.56";"1.276";"0.723";"0.817";"0.401";"0.277";"<0.036";"<0.039";"<0.039";"<0.039";"0.666";"0.067";"0.733";"<0.04";"<0.04";"<0.04";"0.133";"<0.042";"0.133"
"44";"C2019/00034-00043";"SU";"Esox lucius";"Storvindeln";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.566";"0.662";"1.487";"0.715";"0.687";"0.442";"0.234";"<0.036";"<0.039";"<0.039";"<0.039";"0.579";"0.06";"0.639";"<0.04";"<0.04";"<0.04";"0.235";"<0.042";"0.235"
"45";"C2019/01997-02008";"SU";"Perca fluviatilis";"Horsan";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.469";"1.433";"1.781";"0.394";"0.579";"0.168";"0.105";"<0.036";"<0.039";"<0.039";"<0.039";"4.976";"0.682";"5.658";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
"46";"C2019/02009-02020";"SU";"Perca fluviatilis";"Horsan";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.623";"1.323";"1.396";"0.286";"0.497";"0.185";"0.143";"<0.036";"<0.039";"<0.039";"<0.039";"5.002";"0.821";"5.823";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
"47";"C2019/00750-00761";"SU";"Perca fluviatilis";"Hjartsjon";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.549";"2.999";"5.809";"2.993";"6.103";"1.839";"1.112";"<0.036";"<0.039";"<0.039";"<0.039";"8.736";"0.86";"9.596";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
"48";"C2019/00601-00612";"SU";"Perca fluviatilis";"Skargolen";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.225";"0.987";"2.252";"1.08";"2.584";"0.84";"0.651";"0.803";"<0.039";"<0.039";"<0.039";"3.091";"0.742";"3.833";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
"49";"C2019/00613-00624";"SU";"Perca fluviatilis";"Skargolen";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.187";"1.019";"1.936";"0.793";"1.898";"0.525";"0.359";"0.554";"<0.039";"<0.039";"<0.039";"2.8";"0.565";"3.364";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
"50";"C2019/01158-01169";"SU";"Perca fluviatilis";"Stensjon";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.752";"1.732";"5.083";"1.808";"2.78";"0.97";"0.633";"<0.036";"<0.039";"<0.039";"<0.039";"3.265";"0.538";"3.803";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
"51";"C2019/01170-01181";"SU";"Perca fluviatilis";"Stensjon";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.983";"2.074";"5.146";"2.462";"3.892";"1.275";"0.828";"<0.036";"<0.039";"<0.039";"<0.039";"3.118";"0.47";"3.588";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
"52";"C2019/00821-00832";"SU";"Perca fluviatilis";"Fysingen";"Freshwater";NA;"<0.041";"<0.041";"<0.041";"0.547";"2.585";"1.334";"0.34";"0.518";"0.187";"0.051";"<0.036";"<0.039";"<0.039";"<0.039";"70.835";"11.097";"81.932";"<0.04";"<0.04";"<0.04";"<0.058";"<0.042";"<0.058"
